C_PT1_G23_C	C_PT2_G23_C	C_PT3_G23_C	C_NL1_G23_C	C_NL2_G23_C	C_NL3_G23_C	C_NL1_G23_W	C_NL2_G23_W	C_NL3_G23_W	C_PT1_G23_W	C_PT2_G23_W	C_PT3_G23_W
gene-LOC117896423	2478.25261660593	2341.97396509433	2203.44884925927	2999.63867572533	3324.45439198128	2760.4348448238	2845.45272121497	3238.04400197427	3009.9275480002	2512.13796740618	2092.96376771602	2783.87919408562
gene-LOC117901738	234.870519975828	261.579791728691	183.462307121242	175.599448226973	271.326551618918	284.22442490242	212.03373528913	267.333874003442	285.287056233837	327.230558505891	209.498791062483	298.717290572526
gene-LOC117895356	408.653640137315	362.872391930015	366.924614242483	401.21139753125	403.70386573057	323.864033123232	332.052830735807	314.392645831763	460.236609882461	419.149254715411	512.108155930515	426.294466754542
gene-LOC117895424	8309.99283681292	8297.08837253475	7762.45181322311	9541.2738166365	10243.7508813634	9712.54741001858	9355.48849006849	10283.8435201848	9176.89931411422	8365.52054202842	7442.7734757174	8679.39683163505
gene-LOC117893958	2425.59106504185	2284.092479265	2332.7279879561	2281.68143803783	1887.08086074057	2347.17084422384	2056.32716865307	1681.09952978194	1722.65668450606	2110.45326497058	2275.13662950948	1938.55075027795
gene-LOC117893965	818.360511305912	775.834531212332	678.715478158376	502.347788598684	489.138869873552	545.677159975862	460.073199212263	429.536449241485	539.7591342682	806.126965757491	814.717520798546	796.579441526735
gene-LOC117893974	45.2889343451148	122.441604638962	120.72390157719	82.242779549342	74.1688497505001	80.1226123612162	98.0155946147864	46.0575213638888	87.4747768243123	108.464061527234	115.376145802527	114.093409593673
gene-LOC117893951	821.520204399757	805.888379623713	867.881276692713	722.402793338815	680.663494545729	776.767641944001	699.111230976895	594.742775872825	758.44607632898	887.934605383964	867.345236427769	759.23978020517
gene-LOC117899032	702.50509786492	685.672985978187	815.59927207267	805.756961800986	787.691961274299	905.807217641539	847.134782027796	789.986616437137	821.070064282749	721.561765244732	628.49637318745	591.211304258124
gene-Trnag-gcc	7.37261721897218	1.11310549671784	1.9011638043652	3.33416673848684	7.51076959498736	3.373583678367	1.00015912872231	0	2.98209466446519	1.8383739241904	2.02414290881626	0
gene-LOC117892385	0	0	0	0	0.93884619937342	0	0	0	0	0	0	0
gene-LOC117902577	141.132958191753	116.876077155373	126.427392990286	101.136391067434	131.438467912279	107.111281788152	92.0146398424525	118.147554803019	105.367344811103	99.2721919062817	90.0743594423237	88.1630892314746
gene-LOC117895077	0	0	0	0	0	0	1.00015912872231	0	0	0	0	0
gene-LOC117892404	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC117892429	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC117892439	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC117891248	5.2661551564087	3.33931649015351	9.50581902182599	2.22277782565789	2.81653859812026	2.53018775877525	1.00015912872231	1.00125046443237	0.99403155482173	2.7575608862856	3.03621436322439	4.14885125795175
gene-LOC117892461	0	0	0	2.22277782565789	0	0	0	0	0	0	0	0
gene-LOC117901524	4096.01548065469	4678.38240270507	5369.8371654295	5365.78567113815	4587.20253013853	5015.67553381213	4912.78164028399	5096.36486396074	4951.27117456704	4490.22830983506	3811.46109730102	5400.76712503869
gene-LOC117892471	25.2775447507617	45.6373253654313	3.8023276087304	65.5719458569078	28.1653859812026	33.73583678367	29.004614732947	14.0175065020531	28.8269150898302	22.0604870902848	32.3862865410602	2.07442562897587
gene-LOC117900768	359.151781667073	380.6820798775	399.244398916692	590.14751271217	422.480789718039	437.722482268118	494.078609588821	535.668998471316	501.985935184974	362.159663065509	342.080151589948	365.098910699754
gene-LOC117900589	4116.02687024904	4699.5314071427	4497.20297922588	6982.85653930427	7350.2268948945	6851.74845076337	7095.12885915607	8522.6439532483	7461.20085049191	4842.27691631752	3324.65472773071	5148.72441111812
gene-LOC117900729	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC117900761	2.10646206256348	2.22621099343567	0.950581902182599	5.55694456414473	6.57192339561394	4.21697959795875	0	3.0037513932971	2.98209466446519	0	1.01207145440813	2.07442562897587
gene-LOC117900739	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC117900717	0	1.11310549671784	0	1.11138891282895	1.87769239874684	1.6867918391835	0	1.00125046443237	0.99403155482173	2.7575608862856	1.01207145440813	1.03721281448794
gene-LOC117900753	1.05323103128174	1.11310549671784	0	1.11138891282895	0	0	2.00031825744462	1.00125046443237	0	0	0	0
gene-LOC117892481	0	2.22621099343567	1.9011638043652	0	1.87769239874684	0	1.00015912872231	0	0.99403155482173	0	2.02414290881626	2.07442562897587
gene-LOC117903160	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC117890984	7.37261721897218	26.7145319212281	8.55523711964339	16.6708336924342	37.5538479749368	18.5547102310185	18.0028643170016	27.0337625396739	32.8030413091171	13.787804431428	21.2535005425708	28.0047459911743
gene-LOC117896741	5.2661551564087	2.22621099343567	7.60465521746079	7.77972238980262	7.51076959498736	6.74716735673399	7.00111390105617	13.0162560376208	1.98806310964346	9.19186962095201	3.03621436322439	9.33491533039143
gene-LOC117896721	2.10646206256348	1.11310549671784	0.950581902182599	3.33416673848684	6.57192339561394	8.43395919591749	8.00127302977848	15.0187569664855	8.94628399339557	8.27268265885681	0	4.14885125795175
gene-LOC117896749	7.37261721897218	13.357265960614	16.1598923371042	14.4480558667763	6.57192339561394	10.120751035101	23.0036599606131	24.0300111463768	40.7552937476909	11.0302435451424	9.10864308967318	42.5257253940054
gene-LOC117896730	2015.88419387325	2223.98478244224	2372.65242784777	1852.68531768585	1547.2185365674	2137.16526024549	1804.28706821505	1593.99073937633	1592.43855082441	2046.11017762392	2104.09655371451	1784.00604091925
